id,X,Y,,id,X,Y
C1,0.593179745,0.805070053,,C,0.593179745,0.805070053
C1+T4,0.868990535,0.898529605,,B,-0.166329355,0.986070254
C2,0.23182015,0.972758664,,H,-0.645627852,0.763652197
C3,0.784799385,0.619749889,,H+N+T,-0.370344476,1.193878122
C3+T1+T4,1.075501974,0.637020803,,H+T,-0.672602941,1.053615339
C4,0.625673185,0.646941315,,A,-0.997766879,0.066792634
C5,0.860401579,0.509616643,,N,-0.82444156,-0.565947094
C7,0.920649887,0.390389275,,N+T,-0.672602941,-1.053615339
C7+H2,-1.03055195,0.707433868,,T,-0.177972409,-1.055095172
C8,0.359407773,0.933180611,,U,0.868990535,-0.898529605
B1,-0.166329355,0.986070254,,V,1,0
H1,-0.645627852,0.763652197,,P,0,0
H1+N4+T4,-0.370344476,1.193878122,,,,
H1+T4,-0.672602941,1.053615339,,,,
H1+T5,-0.807034814,0.954565246,,,,
H2,-0.741652106,0.67078473,,,,
H4,-0.892518836,0.451010119,,,,
A1,-0.997766879,0.066792634,,,,
A2,-0.997766879,-0.066792634,,,,
N1,-0.82444156,-0.565947094,,,,
N2,-0.944669092,-0.328024858,,,,
N3,-0.892518836,-0.451010119,,,,
N4,-0.667486895,-0.603706257,,,,
N4+T1,-0.672602941,-1.053615339,,,,
N4+T4,-0.927065132,-0.838480913,,,,
N4+T4+T6,-0.807034814,-0.954565246,,,,
N4+T6,-0.702120289,-0.830471764,,,,
T1,-0.177972409,-1.055095172,,,,
T1+T2+T4,0.45,-1.18,,,,
T1+T4,-0.370344476,-1.193878122,,,,
T1+T4+T6,-0.04177,-1.3,,,,
T2,0.001,-1.05,,,,
T3,0.100095692,-0.994977815,,,,
T3+T4,0.108,-1.24,,,,
T4,-0.248871488,-0.802286098,,,,
T4+T6,-0.18,-1.233,,,,
T5,0.23182015,-0.972758664,,,,
T5+T4,0.28978,-1.3,,,,
T7,0.7,-1,,,,
T8,0.5,-1,,,,
U1,0.868990535,-0.898529605,,,,
U2,0.980999232,-0.774687361,,,,
U3,0.784799385,-0.619749889,,,,
U4,1.118522053,-0.662501635,,,,
U5,0.860401579,-0.509616643,,,,
U6,0.920649887,-0.390389275,,,,
U7,1.150812358,-0.487986594,,,,
V1,1,0,,,,
P1,0,0,,,,
T4+T9,-0.042,-1.2,,,,